20240724-210854

Calculated vs Observed Data
   Period(s)  orh(Ohm.m)  crh(Ohm.m)    oph(Deg)    cph(Deg)
    1.00e-04    1.37e+02    1.27e+02    5.84e+01    6.21e+01
    2.34e-04    8.36e+01    7.98e+01    6.99e+01    7.04e+01
    5.46e-04    4.76e+01    4.39e+01    7.75e+01    7.54e+01
    1.27e-03    1.95e+01    2.27e+01    7.66e+01    7.73e+01
    2.98e-03    1.10e+01    1.12e+01    7.72e+01    7.58e+01
    6.95e-03    4.62e+00    5.77e+00    6.78e+01    6.84e+01
    1.62e-02    3.43e+00    3.77e+00    5.40e+01    5.33e+01
    3.79e-02    3.60e+00    4.00e+00    3.53e+01    3.54e+01
    8.86e-02    7.90e+00    6.28e+00    2.77e+01    2.41e+01
    2.07e-01    8.34e+00    1.11e+01    1.72e+01    2.02e+01
    4.83e-01    1.83e+01    1.90e+01    2.09e+01    2.09e+01
    1.13e+00    2.52e+01    3.02e+01    2.21e+01    2.41e+01
    2.64e+00    4.89e+01    4.36e+01    2.98e+01    2.81e+01
    6.16e+00    5.65e+01    5.74e+01    3.22e+01    3.22e+01
    1.44e+01    6.15e+01    6.96e+01    3.44e+01    3.57e+01
    3.36e+01    8.89e+01    7.95e+01    4.01e+01    3.85e+01
    7.85e+01    9.14e+01    8.68e+01    4.14e+01    4.05e+01
    1.83e+02    9.13e+01    9.21e+01    4.22e+01    4.20e+01
    4.28e+02    9.18e+01    9.57e+01    4.28e+01    4.30e+01
    1.00e+03    9.23e+01    9.82e+01    4.32e+01    4.37e+01

Final resistivity structure
 No.  Rho(Ohm.m)        h(m)
   1    1.24e+02    5.00e+00
   2    1.44e+02    5.00e+00
   3    1.61e+02    5.00e+00
   4    1.66e+02    5.00e+00
   5    1.51e+02    5.00e+00
   6    1.16e+02    5.00e+00
   7    7.45e+01    5.00e+00
   8    3.96e+01    5.00e+00
   9    1.80e+01    5.00e+00
  10    7.38e+00    5.00e+00
  11    3.07e+00    5.00e+00
  12    1.49e+00    5.00e+00
  13    9.56e-01    5.00e+00
  14    8.33e-01    5.00e+00
  15    9.37e-01    5.00e+00
  16    1.25e+00    5.00e+00
  17    1.84e+00    5.00e+00
  18    2.80e+00    5.00e+00
  19    4.20e+00    5.00e+00
  20    6.07e+00    5.00e+00
  21    8.29e+00    5.00e+00
  22    1.06e+01    5.00e+00
  23    1.27e+01    5.00e+00
  24    1.42e+01    5.00e+00
  25    1.51e+01    5.00e+00
  26    1.54e+01    5.00e+00
  27    1.51e+01    5.00e+00
  28    1.45e+01    5.00e+00
  29    1.39e+01    5.00e+00
  30    1.34e+01    5.00e+00
  31    1.32e+01    5.00e+00
  32    1.34e+01    5.00e+00
  33    1.43e+01    5.00e+00
  34    1.61e+01    5.00e+00
  35    1.93e+01    5.00e+00
  36    2.46e+01    5.00e+00
  37    3.31e+01    5.00e+00
  38    4.69e+01    5.00e+00
  39    6.88e+01    5.00e+00
  40    1.03e+02

History of objective function
   Epoch  Obj.function           RMS
       0      5.80E+02      2.22E+01
       1      3.02E+02      1.60E+01
       2      1.27E+02      1.04E+01
       3      2.81E+01      4.89E+00
       4      5.46E+00      2.16E+00
       5      3.68E+00      1.77E+00
       6      3.42E+00      1.71E+00
       7      3.36E+00      1.69E+00
       8      3.33E+00      1.68E+00
