Nperiod = 20
   Period(s)  rha(Ohm.m)  erh(Ohm.m)    pha(deg)    eph(deg)
    1.00e-04    1.37e+02    7.18e+00    5.84e+01    1.72e+00
    2.34e-04    8.36e+01    4.78e+00    6.99e+01    1.72e+00
    5.46e-04    4.76e+01    2.51e+00    7.75e+01    1.72e+00
    1.27e-03    1.95e+01    1.27e+00    7.66e+01    1.72e+00
    2.98e-03    1.10e+01    6.27e-01    7.72e+01    1.72e+00
    6.95e-03    4.62e+00    3.13e-01    6.78e+01    1.72e+00
    1.62e-02    3.43e+00    2.00e-01    5.40e+01    1.72e+00
    3.79e-02    3.60e+00    2.13e-01    3.53e+01    1.72e+00
    8.86e-02    7.90e+00    3.39e-01    2.77e+01    1.72e+00
    2.07e-01    8.34e+00    6.06e-01    1.72e+01    1.72e+00
    4.83e-01    1.83e+01    1.05e+00    2.09e+01    1.72e+00
    1.13e+00    2.52e+01    1.69e+00    2.21e+01    1.72e+00
    2.64e+00    4.89e+01    2.47e+00    2.98e+01    1.72e+00
    6.16e+00    5.65e+01    3.27e+00    3.22e+01    1.72e+00
    1.44e+01    6.15e+01    4.00e+00    3.44e+01    1.72e+00
    3.36e+01    8.89e+01    4.59e+00    4.01e+01    1.72e+00
    7.85e+01    9.14e+01    5.03e+00    4.14e+01    1.72e+00
    1.83e+02    9.13e+01    5.34e+00    4.22e+01    1.72e+00
    4.28e+02    9.18e+01    5.56e+00    4.28e+01    1.72e+00
    1.00e+03    9.23e+01    5.71e+00    4.32e+01    1.72e+00
