Nperiod = 20
   Period(s)  rha(Ohm.m)  erh(Ohm.m)    pha(deg)    eph(deg)
    1.00e-04    1.19e+02    1.62e-01    5.66e+01    9.43e-02
    2.34e-04    7.97e+01    1.72e-02    6.93e+01    1.49e-02
    5.46e-04    5.57e+01    3.03e+00    7.96e+01    3.76e+00
    1.27e-03    1.89e+01    3.93e-01    7.62e+01    1.44e+00
    2.98e-03    1.15e+01    2.11e-01    7.78e+01    1.27e+00
    6.95e-03    5.82e+00    1.19e-01    7.07e+01    1.42e+00
    1.62e-02    5.13e+00    4.16e-01    5.92e+01    5.61e+00
    3.79e-02    5.25e+00    3.85e-01    4.02e+01    5.07e+00
    8.86e-02    5.50e+00    2.88e-02    2.32e+01    3.61e-01
    2.07e-01    1.24e+01    4.73e-01    2.22e+01    2.64e+00
    4.83e-01    1.87e+01    2.14e-01    2.11e+01    7.92e-01
    1.13e+00    2.90e+01    1.43e-01    2.39e+01    3.42e-01
    2.64e+00    6.02e+01    4.30e+00    3.26e+01    4.94e+00
    6.16e+00    6.30e+01    1.70e+00    3.37e+01    1.86e+00
    1.44e+01    7.68e+01    2.05e+00    3.73e+01    1.84e+00
    3.36e+01    4.73e+01    4.29e+00    3.20e+01    6.26e+00
    7.85e+01    8.83e+01    8.69e-01    4.10e+01    6.80e-01
    1.83e+02    8.15e+01    1.35e+00    4.07e+01    1.15e+00
    4.28e+02    1.27e+02    7.50e+00    4.70e+01    4.09e+00
    1.00e+03    1.03e+02    1.46e+00    4.46e+01    9.80e-01
